Round,Pick,Player,Name,Team,Position,College
6,37,213,Tajh Boyd,Jets,QB,Clemson
6,38,214,Garrett Gilbert,Rams,QB,Southern Methodist
6,39,215,Daniel McCullers,Steelers,DT,Tennessee
7,1,216,Andre Hal,Texans,DB,Vanderbilt
7,2,217,Ted Bolser,Redskins,TE,Indiana
7,3,218,Mike Campanaro,Ravens,WR,Wake Forest
7,4,219,Travis Carrie,Raiders,DB,Ohio
7,5,220,Shamar Stephen,Vikings,DT,Connecticut
7,6,221,Randell Johnson,Bills,LB,Florida Atlantic
7,7,222,Storm Johnson,Jaguars,RB,Central Florida
7,8,223,Brandon Watts,Vikings,LB,Georgia Tech
7,9,224,Beau Allen,Eagles,DT,Wisconsin
7,10,225,Jabari Price,Vikings,DB,North Carolina
7,11,226,Mitchell Van Dyk,Rams,T,Portland State
7,12,227,Kiero Small,Seahawks,RB,Arkansas
7,13,228,Zach Hocker,Redskins,K,Arkansas
7,14,229,Nate Freese,Lions,K,Boston College
7,15,230,Rob Blanchflower,Steelers,TE,Massachusetts
7,16,231,Ben Gardner,Cowboys,DE,Stanford
7,17,232,Ulrick John,Colts,T,Georgia State
7,18,233,Trevor Reilly,Jets,LB,Utah
7,19,234,Terrence Fede,Dolphins,DE,Marist
7,20,235,Shelby Harris,Raiders,DE,Illinois State
7,21,236,Jeff Janis,Packers,WR,Saginaw Valley State
7,22,237,Seantrel Henderson,Bills,T,Miami (FL)
7,23,238,Will Smith,Cowboys,LB,Texas Tech
7,24,239,James Wright,Bengals,WR,Louisiana State
7,25,240,Tevin Reese,Chargers,WR,Baylor
7,26,241,C.B. Bryant,Rams,DB,Ohio State
7,27,242,Corey Nelson,Broncos,LB,Oklahoma
7,28,243,Kaleb Ramsey,49ers,DE,Boston College
7,29,244,Jeremy Gallon,Patriots,WR,Michigan
7,30,245,Trey Millard,49ers,RB,Oklahoma
7,31,246,Charles Leno Jr.,Bears,T,Boise State
7,32,247,Jonathan Dowling,Raiders,DB,Western Kentucky
7,33,248,Ahmad Dixon,Cowboys,DB,Baylor
7,34,249,Michael Sam,Rams,DE,Missouri
7,35,250,Demetrius Rhaney,Rams,C,Tennessee State
7,36,251,Ken Bishop,Cowboys,DT,Northern Illinois
7,37,252,Lavelle Westbrooks,Bengals,DB,Georgia Southern
7,38,253,Yawin Smallwood,Falcons,LB,Connecticut
7,39,254,Terrance Mitchell,Cowboys,DB,Oregon
7,40,255,Tyler Starr,Falcons,LB,South Dakota
7,41,256,Lonnie Ballentine,Texans,DB,Memphis
